image,W,seed_ratio,sigma,PSNR
img2,0,0.01,3,14.489708557857647
img2,0,0.01,5,14.489704963781795
img2,0,0.01,10,14.489703432481138
img2,0,0.03,3,14.489707127229394
img2,0,0.03,5,14.489704181056025
img2,0,0.03,10,14.489703160894912
img2,0,0.05,3,14.489706338798323
img2,0,0.05,5,14.489703918516177
img2,0,0.05,10,14.489703087575265
img2,1,0.01,3,14.844370278952157
img2,1,0.01,5,14.844370891324495
img2,1,0.01,10,14.844370712832053
img2,1,0.03,3,14.84437066020639
img2,1,0.03,5,14.844370795405519
img2,1,0.03,10,14.844370644575557
img2,1,0.05,3,14.844370787319205
img2,1,0.05,5,14.844370828830762
img2,1,0.05,10,14.844370666814866
img2,2,0.01,3,14.418931173770542
img2,2,0.01,5,14.41893431444155
img2,2,0.01,10,14.418935203019068
img2,2,0.03,3,14.41893272927808
img2,2,0.03,5,14.418934921635971
img2,2,0.03,10,14.41893550372897
img2,2,0.05,3,14.418933489434098
img2,2,0.05,5,14.418935200369491
img2,2,0.05,10,14.418935604873846
img2,3,0.01,3,13.752425789793445
img2,3,0.01,5,13.752429044659731
img2,3,0.01,10,13.752430105194971
img2,3,0.03,3,13.752427570205509
img2,3,0.03,5,13.752429966842074
img2,3,0.03,10,13.752430735630998
img2,3,0.05,3,13.752428362916824
img2,3,0.05,5,13.752430253900037
img2,3,0.05,10,13.752430869928569
img2,5,0.01,3,12.708727082529913
img2,5,0.01,5,12.70872859775559
img2,5,0.01,10,12.708729656900104
img2,5,0.03,3,12.708728506527258
img2,5,0.03,5,12.708729665498197
img2,5,0.03,10,12.70873040470994
img2,5,0.05,3,12.708728922749328
img2,5,0.05,5,12.70872991769812
img2,5,0.05,10,12.708730520579321
img2,10,0.01,3,11.579808436093053
img2,10,0.01,5,11.579809284942396
img2,10,0.01,10,11.579809879756342
img2,10,0.03,3,11.57980943228917
img2,10,0.03,5,11.579810154445083
img2,10,0.03,10,11.579810624536908
img2,10,0.05,3,11.579809629844782
img2,10,0.05,5,11.579810259617725
img2,10,0.05,10,11.579810669495238
