image,W,seed_ratio,sigma,PSNR
img4,0,0.01,3,18.615120088029677
img4,0,0.01,5,18.61511369350216
img4,0,0.01,10,18.615111701032234
img4,0,0.03,3,18.61512009692923
img4,0,0.03,5,18.615115145173743
img4,0,0.03,10,18.615113749426214
img4,0,0.05,3,18.615119199969755
img4,0,0.05,5,18.615114913794105
img4,0,0.05,10,18.615113837716528
img4,1,0.01,3,18.58855024028772
img4,1,0.01,5,18.5885459162793
img4,1,0.01,10,18.588544429174934
img4,1,0.03,3,18.588551119722627
img4,1,0.03,5,18.58854783368564
img4,1,0.03,10,18.58854657438417
img4,1,0.05,3,18.5885509814683
img4,1,0.05,5,18.588547755273396
img4,1,0.05,10,18.588546720874085
img4,2,0.01,3,18.0560307531926
img4,2,0.01,5,18.056028574668343
img4,2,0.01,10,18.05602777402334
img4,2,0.03,3,18.05603234539443
img4,2,0.03,5,18.056030885455705
img4,2,0.03,10,18.056030062381936
img4,2,0.05,3,18.056032855149603
img4,2,0.05,5,18.056031202984258
img4,2,0.05,10,18.056030269903797
img4,3,0.01,3,17.32528928046985
img4,3,0.01,5,17.325289124580333
img4,3,0.01,10,17.32528886653772
img4,3,0.03,3,17.325291469718838
img4,3,0.03,5,17.32529131651488
img4,3,0.03,10,17.325291006170932
img4,3,0.05,3,17.32529219460556
img4,3,0.05,5,17.325291800842905
img4,3,0.05,10,17.325291290691524
img4,5,0.01,3,16.02563803394355
img4,5,0.01,5,16.025639610350947
img4,5,0.01,10,16.025640054897696
img4,5,0.03,3,16.025640876854684
img4,5,0.03,5,16.025641586139944
img4,5,0.03,10,16.025641788900995
img4,5,0.05,3,16.025641546144836
img4,5,0.05,5,16.025642103332117
img4,5,0.05,10,16.025642197508684
img4,10,0.01,3,14.562656734392878
img4,10,0.01,5,14.562657925201085
img4,10,0.01,10,14.562658780991367
img4,10,0.03,3,14.562658618145614
img4,10,0.03,5,14.562659467097053
img4,10,0.03,10,14.562660034499027
img4,10,0.05,3,14.562659272948563
img4,10,0.05,5,14.562660089495939
img4,10,0.05,10,14.562660548034156
