image,W,seed_ratio,sigma,PSNR
img1,0,0.01,3,18.20125814174827
img1,0,0.01,5,18.201252955681454
img1,0,0.01,10,18.201251546684915
img1,0,0.03,3,18.20125705598605
img1,0,0.03,5,18.201252447817396
img1,0,0.03,10,18.201251050022293
img1,0,0.05,3,18.20125559193255
img1,0,0.05,5,18.201251846035717
img1,0,0.05,10,18.201250867184324
img1,1,0.01,3,17.937536247233744
img1,1,0.01,5,17.93753262579373
img1,1,0.01,10,17.93753127176664
img1,1,0.03,3,17.937536033034956
img1,1,0.03,5,17.937533595522453
img1,1,0.03,10,17.937532098621052
img1,1,0.05,3,17.937535913121646
img1,1,0.05,5,17.93753370014398
img1,1,0.05,10,17.937532368007517
img1,2,0.01,3,14.969300277583669
img1,2,0.01,5,14.969299774333553
img1,2,0.01,10,14.969298785788649
img1,2,0.03,3,14.96930123880949
img1,2,0.03,5,14.969300612481746
img1,2,0.03,10,14.969300130295277
img1,2,0.05,3,14.969301677394428
img1,2,0.05,5,14.969301080587677
img1,2,0.05,10,14.969300597867024
img1,3,0.01,3,13.434076215533768
img1,3,0.01,5,13.434075800680468
img1,3,0.01,10,13.434075645066159
img1,3,0.03,3,13.434077445909889
img1,3,0.03,5,13.434077150680956
img1,3,0.03,10,13.434077041378046
img1,3,0.05,3,13.434077941301702
img1,3,0.05,5,13.434077667646097
img1,3,0.05,10,13.434077559869548
img1,5,0.01,3,12.360880691409982
img1,5,0.01,5,12.360880892449115
img1,5,0.01,10,12.360881355000972
img1,5,0.03,3,12.36088246040309
img1,5,0.03,5,12.360882509152846
img1,5,0.03,10,12.360882754960851
img1,5,0.05,3,12.360883006347622
img1,5,0.05,5,12.360883077534844
img1,5,0.05,10,12.360883305065169
img1,10,0.01,3,11.854128164550687
img1,10,0.01,5,11.854128873294362
img1,10,0.01,10,11.854129493948735
img1,10,0.03,3,11.854130138618348
img1,10,0.03,5,11.854130501658513
img1,10,0.03,10,11.854130897584925
img1,10,0.05,3,11.854130906083833
img1,10,0.05,5,11.854131126648973
img1,10,0.05,10,11.85413148005991
