image,W,seed_ratio,sigma,PSNR
img3,0,0.01,3,12.932965615553677
img3,0,0.01,5,12.932956119826942
img3,0,0.01,10,12.93295446165498
img3,0,0.03,3,12.932963344047172
img3,0,0.03,5,12.932956313296069
img3,0,0.03,10,12.932955143824065
img3,0,0.05,3,12.93296216134716
img3,0,0.05,5,12.932956449050032
img3,0,0.05,10,12.93295555662143
img3,1,0.01,3,13.648995685951826
img3,1,0.01,5,13.64898564728673
img3,1,0.01,10,13.648983306346178
img3,1,0.03,3,13.648993173178056
img3,1,0.03,5,13.648985413172358
img3,1,0.03,10,13.648983893817856
img3,1,0.05,3,13.648991840214403
img3,1,0.05,5,13.648985436451785
img3,1,0.05,10,13.648984229587182
img3,2,0.01,3,14.126226931386531
img3,2,0.01,5,14.12621840838693
img3,2,0.01,10,14.126216269369875
img3,2,0.03,3,14.126225163554292
img3,2,0.03,5,14.126218213731882
img3,2,0.03,10,14.126216723848113
img3,2,0.05,3,14.126223817587903
img3,2,0.05,5,14.126218311530437
img3,2,0.05,10,14.12621700462763
img3,3,0.01,3,14.292972359621086
img3,3,0.01,5,14.292966841364647
img3,3,0.01,10,14.29296570604868
img3,3,0.03,3,14.292971999445708
img3,3,0.03,5,14.292966946458673
img3,3,0.03,10,14.292966038273802
img3,3,0.05,3,14.292970964581764
img3,3,0.05,5,14.292967141189516
img3,3,0.05,10,14.2929662665067
img3,5,0.01,3,13.928423044284246
img3,5,0.01,5,13.928422457337062
img3,5,0.01,10,13.928425046635713
img3,5,0.03,3,13.928424907684784
img3,5,0.03,5,13.92842386764007
img3,5,0.03,10,13.928425303991459
img3,5,0.05,3,13.928425254461143
img3,5,0.05,5,13.9284241218827
img3,5,0.05,10,13.928425415555672
img3,10,0.01,3,12.411212197485517
img3,10,0.01,5,12.411216681086813
img3,10,0.01,10,12.411222788701346
img3,10,0.03,3,12.411214994607054
img3,10,0.03,5,12.41121854511115
img3,10,0.03,10,12.411223197903622
img3,10,0.05,3,12.411216520454529
img3,10,0.05,5,12.411219501303359
img3,10,0.05,10,12.411223329815702
