image,W,seed_ratio,sigma,PSNR
img2,0,0.01,3,14.79060599500209
img2,0,0.01,5,14.822315191152697
img2,0,0.01,10,14.83309223795463
img2,0,0.03,3,14.810039561100329
img2,0,0.03,5,14.837074780152316
img2,0,0.03,10,14.8439257353058
img2,0,0.05,3,14.819191439766728
img2,0,0.05,5,14.841217203831167
img2,0,0.05,10,14.846743085894207
img2,1,0.01,3,15.03279826663018
img2,1,0.01,5,15.044774080021735
img2,1,0.01,10,15.050850239251856
img2,1,0.03,3,15.041321038632969
img2,1,0.03,5,15.05098891090116
img2,1,0.03,10,15.055016490013628
img2,1,0.05,3,15.046084896487235
img2,1,0.05,5,15.05437777126475
img2,1,0.05,10,15.058233433988843
img2,2,0.01,3,14.54940442426108
img2,2,0.01,5,14.543843260965497
img2,2,0.01,10,14.541977939800839
img2,2,0.03,3,14.548729995111398
img2,2,0.03,5,14.544412578613242
img2,2,0.03,10,14.544073166214133
img2,2,0.05,3,14.550339625094967
img2,2,0.05,5,14.547784842245035
img2,2,0.05,10,14.548211780399962
img2,3,0.01,3,13.859861143159469
img2,3,0.01,5,13.849023051736058
img2,3,0.01,10,13.845111868496003
img2,3,0.03,3,13.856225003930824
img2,3,0.03,5,13.849447764776963
img2,3,0.03,10,13.84737031373244
img2,3,0.05,3,13.858299446943008
img2,3,0.05,5,13.853539736935323
img2,3,0.05,10,13.852220061022555
img2,5,0.01,3,12.811641416601411
img2,5,0.01,5,12.80968299651702
img2,5,0.01,10,12.806178907935763
img2,5,0.03,3,12.817647280596304
img2,5,0.03,5,12.816461909767101
img2,5,0.03,10,12.814435573795144
img2,5,0.05,3,12.823666098795607
img2,5,0.05,5,12.822377212784115
img2,5,0.05,10,12.821058387878885
img2,10,0.01,3,11.75972833302507
img2,10,0.01,5,11.763326089765915
img2,10,0.01,10,11.761548234148409
img2,10,0.03,3,11.770300660747306
img2,10,0.03,5,11.773301214829386
img2,10,0.03,10,11.772173953482291
img2,10,0.05,3,11.777373766189807
img2,10,0.05,5,11.779750018617658
img2,10,0.05,10,11.77905728086472
