image,W,seed_ratio,sigma,PSNR
img3,0,0.01,3,12.956592173423937
img3,0,0.01,5,12.978512648772604
img3,0,0.01,10,12.977784306051309
img3,0,0.03,3,12.969130354801282
img3,0,0.03,5,12.984688260077025
img3,0,0.03,10,12.98470866042342
img3,0,0.05,3,12.97608185354317
img3,0,0.05,5,12.987920649757454
img3,0,0.05,10,12.988332789210828
img3,1,0.01,3,13.675782987871907
img3,1,0.01,5,13.69877942248464
img3,1,0.01,10,13.699134632853564
img3,1,0.03,3,13.690187310211208
img3,1,0.03,5,13.708331485205097
img3,1,0.03,10,13.709947810278685
img3,1,0.05,3,13.699127152810203
img3,1,0.05,5,13.71299369999276
img3,1,0.05,10,13.714469968531498
img3,2,0.01,3,14.155255221252506
img3,2,0.01,5,14.17538441408539
img3,2,0.01,10,14.175769463358955
img3,2,0.03,3,14.168183994503494
img3,2,0.03,5,14.186959844165255
img3,2,0.03,10,14.189839024998408
img3,2,0.05,3,14.176445628908525
img3,2,0.05,5,14.192721797880383
img3,2,0.05,10,14.195076297886855
img3,3,0.01,3,14.316210188256077
img3,3,0.01,5,14.335411086680729
img3,3,0.01,10,14.333160002788233
img3,3,0.03,3,14.331435066101301
img3,3,0.03,5,14.347170570127293
img3,3,0.03,10,14.349362694200867
img3,3,0.05,3,14.338059178152529
img3,3,0.05,5,14.353348332476916
img3,3,0.05,10,14.35507891710656
img3,5,0.01,3,13.938729617974008
img3,5,0.01,5,13.950092359219472
img3,5,0.01,10,13.94287476554098
img3,5,0.03,3,13.949630879891497
img3,5,0.03,5,13.956765018752881
img3,5,0.03,10,13.955574024041677
img3,5,0.05,3,13.95416878310922
img3,5,0.05,5,13.961119233039746
img3,5,0.05,10,13.961169718495146
img3,10,0.01,3,12.42365261176904
img3,10,0.01,5,12.425775917887627
img3,10,0.01,10,12.417682849348854
img3,10,0.03,3,12.426290054855658
img3,10,0.03,5,12.428845647610135
img3,10,0.03,10,12.422857659005505
img3,10,0.05,3,12.427992287509714
img3,10,0.05,5,12.430998696133898
img3,10,0.05,10,12.426858173657928
