image,W,seed_ratio,sigma,PSNR
img4,0,0.01,3,18.802194770557797
img4,0,0.01,5,18.87893684387676
img4,0,0.01,10,18.867126925498294
img4,0,0.03,3,18.86094881749566
img4,0,0.03,5,18.912972822949023
img4,0,0.03,10,18.91140963258951
img4,0,0.05,3,18.908529553091757
img4,0,0.05,5,18.956532446302198
img4,0,0.05,10,18.958860634123134
img4,1,0.01,3,18.783966247427536
img4,1,0.01,5,18.852486347020793
img4,1,0.01,10,18.84508419528754
img4,1,0.03,3,18.834045287469934
img4,1,0.03,5,18.88214398212648
img4,1,0.03,10,18.882808394825773
img4,1,0.05,3,18.879741738347388
img4,1,0.05,5,18.923387542119798
img4,1,0.05,10,18.92819661068732
img4,2,0.01,3,18.258708041176426
img4,2,0.01,5,18.293688519397918
img4,2,0.01,10,18.287458735212084
img4,2,0.03,3,18.289896904407712
img4,2,0.03,5,18.31858966462534
img4,2,0.03,10,18.319208479792525
img4,2,0.05,3,18.32729214556227
img4,2,0.05,5,18.35389959226564
img4,2,0.05,10,18.357746739800614
img4,3,0.01,3,17.523149886081253
img4,3,0.01,5,17.536130499837284
img4,3,0.01,10,17.53066313860328
img4,3,0.03,3,17.542535432806154
img4,3,0.03,5,17.558384917154676
img4,3,0.03,10,17.558040197265562
img4,3,0.05,3,17.57341104018844
img4,3,0.05,5,17.58893878863227
img4,3,0.05,10,17.59081490020032
img4,5,0.01,3,16.241560924787898
img4,5,0.01,5,16.234192738232395
img4,5,0.01,10,16.229303493360124
img4,5,0.03,3,16.247521066872128
img4,5,0.03,5,16.25081811367994
img4,5,0.03,10,16.249245183293844
img4,5,0.05,3,16.269006503807528
img4,5,0.05,5,16.275385173019732
img4,5,0.05,10,16.27427723248325
img4,10,0.01,3,14.851014308100616
img4,10,0.01,5,14.853859078661028
img4,10,0.01,10,14.85566144068456
img4,10,0.03,3,14.863286989669856
img4,10,0.03,5,14.866385952068741
img4,10,0.03,10,14.868129727615976
img4,10,0.05,3,14.881558511267535
img4,10,0.05,5,14.88293218045429
img4,10,0.05,10,14.884675729108984
