image,W,seed_ratio,sigma,PSNR
img5,0,0.01,3,18.530629126749247
img5,0,0.01,5,18.630640688341625
img5,0,0.01,10,18.656441626395612
img5,0,0.03,3,18.61328417690266
img5,0,0.03,5,18.6850930194356
img5,0,0.03,10,18.718388985634927
img5,0,0.05,3,18.669309160048876
img5,0,0.05,5,18.72326233010154
img5,0,0.05,10,18.74646701391933
img5,1,0.01,3,18.06490197199884
img5,1,0.01,5,18.150155604816117
img5,1,0.01,10,18.19331808221493
img5,1,0.03,3,18.12259263012805
img5,1,0.03,5,18.19749665982132
img5,1,0.03,10,18.244088092160585
img5,1,0.05,3,18.18313889570945
img5,1,0.05,5,18.24557909827198
img5,1,0.05,10,18.273776908326113
img5,2,0.01,3,15.067726144481448
img5,2,0.01,5,15.094840302901673
img5,2,0.01,10,15.128927258453832
img5,2,0.03,3,15.106380980090027
img5,2,0.03,5,15.141968879593545
img5,2,0.03,10,15.16738648755596
img5,2,0.05,3,15.139959745892197
img5,2,0.05,5,15.171104520830971
img5,2,0.05,10,15.18685149331474
img5,3,0.01,3,13.665162859039793
img5,3,0.01,5,13.689552466220775
img5,3,0.01,10,13.71356386587441
img5,3,0.03,3,13.694849378496638
img5,3,0.03,5,13.741133406437768
img5,3,0.03,10,13.757235426456113
img5,3,0.05,3,13.735633349913856
img5,3,0.05,5,13.76346119211999
img5,3,0.05,10,13.775500286835197
img5,5,0.01,3,12.797542042468997
img5,5,0.01,5,12.826763368714895
img5,5,0.01,10,12.850252729959568
img5,5,0.03,3,12.845806826681809
img5,5,0.03,5,12.885304403870883
img5,5,0.03,10,12.901611820882422
img5,5,0.05,3,12.884465052332587
img5,5,0.05,5,12.908782588779639
img5,5,0.05,10,12.920593202863394
img5,10,0.01,3,12.389198518209847
img5,10,0.01,5,12.410518664747602
img5,10,0.01,10,12.430779017262301
img5,10,0.03,3,12.447042766809975
img5,10,0.03,5,12.480355371830072
img5,10,0.03,10,12.495007522438089
img5,10,0.05,3,12.478369065911659
img5,10,0.05,5,12.503023288011777
img5,10,0.05,10,12.51441349770715
